1296	1	1008
3374	1	3082
2512	1	2057
178	2	177
138	2	48
133	2	44
107	2	42
2958	3	279
1683	3	279
3340	3	721
3467	3	719
1334	3	279
6058	3	685
3997	3	721
4884	3	279
1521	3	279
1301	3	269
5432	3	685
1054	3	279
3058	3	687
5134	3	2023
2312	3	686
4125	3	715
1627	3	279
4387	3	279
4401	3	281
3498	3	715
4126	3	721
4644	3	279
4656	3	281
2603	3	687
3732	3	715
3418	3	721
6208	3	758
4499	3	281
1067	3	279
2580	3	685
5138	3	281
3788	3	719
6188	3	758
1492	3	279
3410	3	719
1961	3	291
5031	3	281
5260	3	687
4101	3	715
2188	3	685
5622	3	687
5337	3	687
3993	3	715
2912	3	363
2561	3	687
2839	3	881
3994	3	721
3243	3	715
2775	3	853
5222	3	685
5126	3	279
3545	3	719
1395	3	279
4593	3	1369
4024	3	721
1944	3	279
5369	3	281
3206	3	719
5359	3	685
6116	3	685
3562	3	721
1023	3	281
3062	3	687
2324	3	2325
3889	3	721
2294	3	685
5580	3	685
3335	3	719
3065	3	719
2656	3	758
1742	3	279
5892	3	769
1300	3	279
4200	3	715
5653	3	685
2264	3	687
4820	3	279
5900	3	770
4422	3	1150
6094	3	2107
4154	3	719
5498	3	685
1952	3	279
1261	3	279
3614	3	719
2488	3	685
3749	3	719
3469	3	721
5281	3	685
2618	3	2616
3751	3	721
4210	3	721
3647	3	719
3468	3	715
6054	3	143
5248	3	687
1151	3	291
2082	3	281
5210	3	685
3454	3	721
4975	3	279
4485	3	281
3402	3	715
3887	3	719
2236	3	687
3546	3	715
2714	3	769
3489	3	715
4146	3	715
2383	3	281
2085	3	685
5215	3	281
2902	3	976
4815	3	279
2740	3	817
2728	3	1246
4808	3	279
3227	3	719
1941	3	279
3378	3	715
5472	3	687
5343	3	687
5180	3	281
2281	3	685
4066	3	721
5532	3	685
4467	3	279
3080	3	715
2167	3	686
5031	3	1886
2194	3	685
2161	3	2162
3757	3	721
4564	3	279
4040	3	719
5259	3	685
3940	3	721
5369	3	2058
1452	3	281
3022	3	281
1431	3	279
5713	3	685
6100	3	172
4607	3	279
2077	3	163
2536	3	685
2113	3	685
2069	3	685
5731	3	685
1816	3	281
4188	3	715
5487	3	687
4777	3	281
3534	3	715
4561	3	281
3088	3	721
2980	4	3401
1863	4	1690
1496	4	2889
5359	4	5519
2075	4	4232
3061	4	3371
5359	4	5589
4687	4	6018
1480	4	2919
5653	4	5268
2562	4	3503
5653	4	5675
2422	4	3443
2980	4	3926
2069	4	3581
5007	4	4990
2069	4	3806
3061	4	4160
2562	4	4067
2980	4	4106
5014	4	5081
5292	4	5796
3049	4	3122
2075	4	3704
5657	4	5762
5659	4	5500
3049	4	3446
3049	4	4064
6098	4	6175
1870	4	1240
5659	4	5199
5011	4	4928
2069	4	3764
3061	4	3521
2069	4	3527
5524	4	5590
5530	4	5580
1863	4	1607
4684	4	6002
5011	4	4820
2562	4	3131
5657	4	5679
3049	4	4109
5659	4	5374
1496	4	2845
5655	4	5617
4680	4	6018
5014	4	4753
2980	4	4094
3061	4	3299
2075	4	3563
1492	4	2882
2075	4	3560
1880	4	1810
2422	4	3707
5657	4	5480
5007	4	4799
2980	4	3416
5574	4	5845
2562	4	3971
5655	4	5384
1880	4	1515
5524	4	5481
5526	4	5334
2562	4	3815
2977	4	3299
1876	4	1185
1876	4	1231
5655	4	5574
5555	4	5882
5354	4	5392
5653	4	5544
2422	4	3761
1876	4	2008
5657	4	5332
5526	4	5325
5354	4	5688
6062	4	6147
5528	4	5614
5007	4	4517
2980	4	3164
5354	4	5328
5524	4	5484
1472	4	2898
2977	4	4001
2562	4	3089
5745	4	5905
5020	4	5030
2069	4	3725
1876	4	1644
5661	4	5463
5354	4	5740
1880	4	1406
5655	4	5243
5522	4	5670
2977	4	3404
5526	4	5338
5007	4	4441
5661	4	5432
5352	4	5539
3049	4	3683
1873	4	1361
5524	4	5541
3061	4	3302
1492	4	2818
1863	4	1636
5528	4	5247
5011	4	4327
5655	4	5272
2562	4	3167
5659	4	5275
5017	4	4694
5357	4	5631
2562	4	3377
5020	4	4604
5338	4	5405
2069	4	4145
5359	4	5455
3061	4	4181
5655	4	5255
1863	4	1032
1870	4	1183
1876	4	1511
1870	4	1632
4684	4	6011
5014	4	4610
5530	4	5589
2980	4	3842
1863	4	1903
4684	4	5992
2977	4	4226
5017	4	5111
5354	4	5160
5338	4	5686
1876	4	1256
4690	4	6018
2977	4	3290
5522	4	5517
5522	4	5621
1863	4	1336
2562	4	3602
5659	4	5317
5357	4	5303
5526	4	5576
1880	4	1210
5653	4	5478
1863	4	1627
5526	4	5162
1863	4	1611
5530	4	5374
5348	4	5503
5011	4	4572
5348	4	5517
5653	4	5272
5011	4	4753
3049	4	3587
3061	4	3977
4687	4	5979
5348	4	5306
5526	4	5570
2688	5	2678
67	6	40
5390	10	2244
5979	10	5981
2690	10	2692
4948	10	1774
4687	10	1477
5634	10	2491
3179	10	3066
2069	10	2073
