2491	10	715
2077	14	3070
2337	10	687
5159	10	715
2337	10	715
5209	10	687
5209	10	715
2491	10	687
5216	10	687
2121	10	715
5320	10	687
2148	10	715
758	10	279
6051	10	715
2232	10	715
2312	10	715
2232	10	687
2121	10	687
5205	10	687
3082	4	5020
3082	4	1876
3082	4	1880
5209	10	721
3082	4	1319
5159	10	721
3082	4	1183
2695	10	721
107	10	721
3082	4	1870
3082	4	1863
5020	10	1323
3082	4	1179
3082	4	1792
3082	4	1873
6051	10	721
3082	4	1244
5020	10	4572
3082	4	1119
3082	4	1275
263	4	5014
3082	4	5352
5450	10	721
3082	4	1314
263	4	5020
3082	4	5524
3082	4	1799
3082	4	5653
3082	4	5655
5208	10	721
3082	4	5348
263	4	5007
899	10	721
3082	4	5522
3076	4	1876
3082	4	1083
3082	4	1903
3076	4	1880
263	4	5011
721	4	5007
267	10	686
2077	10	770
3082	4	1336
263	4	5017
3082	4	2039
721	4	5014
721	4	5017
3076	4	5020
721	4	5011
2057	4	5661
715	10	5785
272	4	5014
2337	10	686
263	4	1863
2057	4	5657
345	10	686
5352	1	758
272	4	5007
321	10	686
2057	4	5357
2057	4	5526
5348	1	758
2057	4	5354
263	4	1873
272	4	5017
2057	4	5359
272	4	5011
2722	4	687
5655	1	758
5653	1	758
263	4	1870
687	10	4288
2057	4	5530
2057	4	5659
5524	1	758
267	4	5014
715	10	2769
2057	10	771
523	10	279
5522	1	758
267	4	5007
272	4	5020
262	4	5014
262	4	5020
3082	10	770
2714	1	279
263	10	686
3082	10	1875
2491	10	686
4265	1	267
262	4	5007
6102	1	279
281	10	2907
721	4	5338
687	10	5883
2715	1	279
3082	10	1874
2057	4	5528
267	4	5011
345	4	5007
715	10	2978
3082	10	1872
2690	1	279
345	4	5014
721	10	6187
40	4	5011
3716	1	267
5352	1	685
262	4	5011
5020	1	4906
687	4	4211
2745	4	1880
687	1	4287
267	4	5017
345	4	5011
262	4	5659
262	4	5017
2716	1	279
2084	4	5014
3077	10	771
2337	10	2744
2077	10	771
2084	4	5007
2491	10	2744
2112	4	5017
4184	1	267
3078	10	771
4097	1	267
262	4	5359
687	4	3854
5357	1	769
1863	1	936
3066	10	771
1870	1	936
1873	1	936
5348	1	685
5020	1	1972
1876	1	1492
3072	10	770
5522	1	685
3074	10	771
715	10	6084
5530	1	769
5659	1	5648
3082	10	1871
2195	10	686
3082	4	5017
715	1	5797
3689	1	267
267	10	771
3071	10	771
291	10	686
3662	1	267
5657	1	5648
3070	10	770
5020	1	1244
5354	1	769
3066	10	770
3173	1	267
5020	1	1541
5655	1	685
5020	1	6150
3071	10	770
2337	10	2747
3089	1	267
5661	1	769
2337	10	5923
5475	1	719
3920	1	267
4145	1	267
2057	4	3716
2057	10	284
3082	10	1868
5661	1	5648
715	10	2493
5526	1	5648
3128	1	267
1880	1	1492
687	4	4163
5659	1	5511
687	4	3113
2693	1	279
715	10	2920
5657	1	769
2047	4	5657
3518	1	1863
5659	1	5342
5659	1	5218
3113	1	1863
2047	4	5354
262	4	5354
3074	10	770
5528	1	769
5354	1	5648
2047	4	5661
5020	1	1288
5528	1	5648
3518	1	1873
3740	1	1863
262	4	5528
687	4	3908
3524	1	1863
5659	1	5272
5020	1	4972
2047	4	5659
3878	1	1863
4148	1	267
5659	1	5520
3692	1	1863
687	4	3983
1876	1	1487
1024	10	515
3518	1	1870
3323	1	267
5661	1	5218
262	4	5357
2491	10	2747
5657	1	5342
687	4	3104
1870	1	555
2057	4	3386
262	4	5530
172	14	5020
5526	1	5511
5526	1	5218
2047	4	5528
5657	1	5218
3113	1	1873
687	10	6154
3878	1	1873
3692	1	1870
5661	1	5511
5661	1	5342
3077	10	770
4211	1	267
5359	1	769
687	4	4265
5528	1	5511
3749	1	267
3082	10	1869
3524	1	1873
5357	1	5648
5657	1	5511
3067	10	770
3076	10	2744
687	10	2761
687	4	3386
3692	1	1873
5530	1	5648
269	4	5574
3959	1	1863
5354	1	5218
3524	1	1870
5659	1	769
6102	1	719
5653	1	685
5354	1	5342
2491	10	2729
1873	1	555
5526	1	5342
262	4	5526
5354	1	5511
3113	1	1870
3740	1	1870
3878	1	1870
5528	1	5218
3281	1	267
3728	1	267
5657	1	5272
687	4	4079
363	4	5574
5354	1	5520
5661	1	5520
5526	1	5272
5661	1	5272
3740	1	1873
3665	1	267
4070	1	1863
5526	1	5520
5354	1	5272
2047	4	5357
1880	1	1487
262	4	5661
687	4	3086
1637	10	889
2047	4	5530
5657	1	5520
3308	1	267
3176	1	1863
3299	1	267
3959	1	1873
715	10	2447
3290	1	267
5359	1	5648
5528	1	5272
687	10	4286
1319	1	4687
721	10	6161
269	4	3998
3632	1	1863
5524	1	685
2732	10	2690
5530	1	5218
269	4	3794
3386	1	267
4070	1	1873
5357	1	5342
5528	1	5342
3617	1	1863
4268	1	1863
262	4	5657
4259	1	1863
4100	1	267
4163	1	267
719	6	89
3194	1	267
715	10	2918
5530	1	5342
4085	1	1863
2047	4	5359
2057	4	3170
4208	1	267
715	10	728
5530	1	5272
715	10	5937
5530	1	5511
3446	1	267
5655	1	2132
5161	4	5655
3809	1	267
3536	1	267
4091	1	1863
269	10	2619
5357	1	5218
4070	1	1870
3182	1	1863
5161	4	5522
687	4	3533
1863	1	555
2562	1	685
3959	1	1870
5471	1	719
5357	1	5511
2057	4	3167
4268	1	1870
269	4	3809
3176	1	1873
3266	1	267
715	10	5402
3596	1	267
2047	4	5526
3170	1	267
3896	1	1863
3767	1	1863
5357	1	5272
3695	1	267
3863	1	267
3617	1	1873
5357	1	5520
269	4	3188
687	4	3974
3743	1	267
3632	1	1870
715	10	2331
4268	1	1873
2057	4	3356
3599	1	267
4259	1	1873
2057	4	3869
1876	1	555
3722	1	267
4259	1	1870
715	4	5574
3962	1	267
5471	1	685
715	1	6149
3572	1	267
3221	1	1863
4085	1	1873
2057	4	3680
4130	1	267
3545	1	1863
1876	1	1496
4238	1	1863
3082	4	4687
5359	1	5218
3176	1	1870
269	4	3680
3767	1	1873
1880	1	555
3359	1	267
3275	1	1863
4091	1	1873
5359	1	5342
687	4	3479
4091	1	1870
3620	1	1863
3551	1	1863
687	4	3797
3137	1	267
3605	1	1863
4205	1	1863
4085	1	1870
5359	1	5511
2057	4	3326
1876	1	2008
3326	1	267
715	10	5696
3545	1	1870
3632	1	1873
3977	1	267
715	1	5789
687	4	4100
2057	4	3890
1185	1	279
3836	1	1863
687	4	3668
3617	1	1870
5653	1	2132
687	4	3167
3914	1	1863
3182	1	1873
3434	1	1863
5352	1	2132
2057	4	3266
3179	1	267
2057	4	3689
1981	1	4687
687	4	3677
3061	1	685
3713	1	1863
5359	1	5520
3083	1	267
3896	1	1873
687	4	3839
3076	10	5937
4151	1	1863
3182	1	1870
3767	1	1870
3845	1	267
5524	1	2132
5348	1	2132
2337	10	4286
3434	1	1873
3473	1	267
4013	1	267
715	10	2246
4016	1	267
3248	1	1863
5161	4	5524
687	4	3704
4247	1	267
687	4	3107
687	4	4136
4205	1	1873
2422	1	4655
687	4	4124
687	4	3632
3896	1	1870
4238	1	1873
3221	1	1873
1876	1	936
3605	1	1870
3836	1	1873
4109	1	267
3221	1	1870
4205	1	1870
3545	1	1873
3275	1	1873
687	4	3425
3257	1	1863
715	10	2981
5161	4	5348
3449	1	1863
687	4	3383
3212	1	1863
1880	1	1496
3914	1	1870
3623	1	1863
3275	1	1870
2047	4	5729
4217	1	1863
3551	1	1873
3899	1	1863
2057	4	4013
3620	1	1873
3434	1	1870
2057	4	3470
2337	10	4288
5123	1	279
715	10	5656
3305	1	1863
3944	1	267
3623	1	1873
1880	1	2008
4151	1	1873
687	4	3617
3968	1	1863
687	4	3458
4007	1	1863
4238	1	1870
3569	1	1863
4052	1	1863
3869	1	267
1873	1	1972
3224	1	1863
3098	1	267
3605	1	1873
3248	1	1873
3620	1	1870
3710	1	1863
5161	4	5653
687	4	4106
3449	1	1870
687	4	4103
3914	1	1873
4043	1	267
2057	4	3299
3836	1	1870
3479	1	1863
263	4	3773
3839	1	1863
4151	1	1870
3212	1	1873
40	10	2619
2562	1	4655
4311	10	512
3953	1	1863
3551	1	1870
4088	1	1863
2047	4	5748
687	10	722
42	10	2619
3527	1	267
5574	1	719
687	4	3920
3737	1	1863
687	4	3938
3554	1	267
3698	1	267
3257	1	1873
3341	1	1863
3092	1	267
91	6	279
1863	1	4503
3899	1	1873
4687	1	936
3578	1	267
5522	1	2132
2057	4	3758
4217	1	1870
3731	1	1863
4007	1	1873
3230	1	1863
269	4	3266
3938	1	1863
1013	4	4271
3968	1	1870
2069	1	685
3491	1	267
2057	4	3191
5161	4	5352
687	1	6224
3911	1	267
1981	1	1487
3212	1	1870
2069	1	4655
3713	1	1873
263	4	3815
3713	1	1870
4133	1	1863
2057	4	4067
2980	1	5908
3296	1	1863
263	4	3299
3839	1	1873
269	4	3866
3983	1	1863
3659	1	267
3076	10	717
2057	4	3677
2057	10	6151
4223	1	1863
715	10	6103
4052	1	1873
687	1	2746
1124	10	889
1873	1	1492
3899	1	1870
3449	1	1873
3968	1	1873
687	4	3863
3305	1	1873
3626	1	267
3938	1	1873
4217	1	1873
687	4	3596
4232	1	5014
687	4	3482
687	4	3197
3794	1	267
3677	1	267
3215	1	267
687	4	4205
4088	1	1873
2047	4	5590
1319	1	4680
3569	1	1873
2422	1	4676
1981	1	4684
3248	1	1870
5655	1	2128
3953	1	1870
1319	1	4684
4154	1	267
5780	10	2120
3623	1	1870
715	4	5705
3224	1	1870
3731	1	1873
3293	1	267
4052	1	1870
3344	1	1863
3224	1	267
1863	1	1972
4175	1	267
2057	10	919
687	10	2769
3494	1	267
2057	4	4097
2057	4	3128
3953	1	1873
2057	4	3944
3049	1	4655
1013	4	4085
3257	1	1870
3518	1	5020
687	4	4259
3305	1	1870
2057	4	3698
3425	1	267
3191	1	267
4007	1	1870
281	10	1491
3878	1	5020
687	4	3275
1873	1	4503
3119	1	267
3479	1	1873
3230	1	1870
3224	1	1873
3230	1	1873
3983	1	1873
1566	10	889
2057	4	3743
3701	1	1863
721	10	6151
1500	4	6150
1863	1	4972
269	4	3131
715	1	4287
3113	1	267
3983	1	1870
3569	1	1870
4115	1	1863
3887	1	1863
4232	1	1863
2971	10	889
3617	1	267
3986	1	1863
3803	1	1863
4223	1	1873
687	4	4082
3710	1	1870
3866	1	267
687	4	3518
3296	1	1873
3239	1	1863
4142	1	1863
3710	1	1873
833	4	3188
4133	1	1873
1863	1	1492
269	4	3602
687	4	3524
3341	1	1870
2057	10	922
4055	1	267
1637	10	890
4082	1	1863
1873	1	4972
3134	1	1863
2686	1	2980
715	10	5442
3878	1	5014
3803	1	1873
3938	1	1870
5705	1	719
687	4	4253
3422	1	1863
2422	1	4441
4040	1	267
3839	1	1870
3524	1	5020
1863	1	4912
3242	1	267
2422	1	4762
3296	1	1870
3989	1	1863
2422	1	685
3344	1	1873
6122	1	267
715	10	5400
2057	4	3794
3506	1	1863
3125	1	267
269	4	3407
4166	1	267
3061	1	4655
4088	1	1870
3377	1	267
3317	1	1863
4028	1	1863
1190	1	279
3374	1	1873
3470	1	267
687	4	4145
1999	1	1487
3374	1	1863
3341	1	1873
3731	1	1870
3479	1	1870
2977	1	685
2057	10	287
2057	4	3629
3692	1	5020
1024	10	512
3887	1	1873
687	4	4070
2057	4	4184
4687	1	719
3986	1	1873
2057	4	4112
687	4	3392
3362	1	1863
5653	1	2128
1002	4	4271
3737	1	1873
2337	10	2729
4064	1	267
2057	4	3491
3239	1	1870
2047	4	5615
1863	1	1244
1013	4	4133
269	4	3293
3344	1	1870
3200	1	1863
2491	10	4286
4115	1	1870
4223	1	1870
3737	1	1870
3110	1	1863
1987	1	1487
3422	1	1873
4202	1	1863
4115	1	1873
3701	1	1873
3890	1	267
4028	1	1873
3467	1	1863
2057	10	6154
4680	1	936
269	10	6157
2057	4	3359
4235	1	1863
687	4	4052
3905	1	267
3563	1	1863
2057	4	3404
687	10	6151
715	10	2497
3503	1	267
4196	1	1863
2686	1	2075
2695	4	5655
3887	1	1870
3986	1	1870
687	4	3134
2057	4	3098
2057	4	3536
687	4	3365
1870	1	1972
4133	1	1870
687	4	3290
4151	1	5020
687	4	3413
263	4	4112
3785	1	1863
3440	1	267
3827	1	1863
3383	1	1863
2057	4	3980
687	4	3374
3680	1	267
3740	1	5020
2057	4	4160
3521	1	267
687	4	4232
3908	1	1863
4232	1	1870
4121	1	1863
2057	4	3764
4124	1	1863
3422	1	1870
3314	1	267
4554	4	4311
1990	1	279
5011	1	4618
3785	1	1873
1002	4	4085
3950	1	267
98	6	279
3701	1	1870
3416	1	1863
3317	1	1870
3554	1	1863
3356	1	267
687	4	3623
4690	1	719
1999	1	1496
3449	1	5020
3236	1	267
2057	4	3155
2057	4	3587
4232	1	5017
4082	1	1873
3317	1	1873
2562	1	4762
1873	1	1244
4232	1	1873
4196	1	1873
2057	10	6152
4142	1	1873
2057	4	3137
4256	1	1863
1013	4	3449
1013	4	5352
3995	1	1863
1972	1	279
715	1	6145
3989	1	1873
2057	4	4004
3467	1	1873
3167	1	267
4256	1	1873
4202	1	1873
715	4	5471
3788	1	1863
1873	1	1253
3239	1	1873
1952	1	511
4028	1	1870
281	10	890
3767	1	5020
3149	1	1863
3362	1	1873
4178	1	1863
269	4	3158
3719	1	267
3506	1	1873
263	4	3197
361	4	5574
3803	1	1870
3374	1	1870
5095	1	279
3329	1	267
5352	1	2128
3302	1	267
5014	1	4618
269	4	3527
687	4	4133
4214	1	1863
3110	1	1873
4271	1	1863
4103	1	1863
263	10	284
2019	1	4687
5524	1	2128
1235	1	4687
3455	1	1863
1987	1	1492
4238	1	5020
363	4	5705
687	4	4238
4139	1	267
5655	1	2352
5348	1	2128
3104	1	267
1999	1	1492
4305	10	6161
4121	1	1873
3049	1	685
3434	1	5014
4181	1	267
1834	1	4687
3209	1	1863
3464	1	267
3200	1	1873
2695	4	5352
2722	4	3082
687	4	4115
3061	1	769
3362	1	1870
5017	1	4618
3506	1	1870
715	10	2563
687	4	3371
687	4	4208
687	4	3278
715	10	2349
3620	1	5020
715	10	3050
715	1	5795
4235	1	1873
715	10	5353
2125	10	2729
3416	1	1873
3668	1	1863
687	4	3359
1013	4	4070
2069	1	4676
2069	1	4762
3134	1	1873
2695	4	5653
4082	1	1870
2057	4	3353
4142	1	1870
3344	1	5020
833	4	3719
4235	1	1870
2069	1	769
1870	1	6160
687	4	4187
4250	1	1873
4687	1	758
3383	1	1873
715	10	470
2057	4	4208
4178	1	1870
3416	1	1870
2057	4	3749
2695	4	5348
1426	1	4687
2977	1	2075
5655	1	2120
3383	1	1870
3563	1	1870
687	4	3101
3989	1	1870
1683	1	4687
2057	4	3089
4121	1	1870
3524	1	5014
687	10	6223
2057	4	3086
4214	1	1873
4374	1	1487
3785	1	1870
1870	1	4972
3110	1	1870
3821	1	1863
3908	1	1873
4124	1	1870
3563	1	1873
687	4	3644
4196	1	1870
263	4	3215
6167	4	6150
2977	1	4655
3134	1	1870
4250	1	1863
1179	1	4687
4106	1	267
3656	1	267
269	4	3446
1450	4	6150
2057	4	3308
715	10	2840
4253	1	267
3254	1	267
5655	1	2126
269	4	3302
4271	1	1873
3101	1	1863
3827	1	1873
3995	1	1870
4202	1	1870
3620	1	5014
3827	1	1870
687	4	3578
3200	1	1870
3221	1	5020
5522	1	2128
4223	1	5014
687	4	3263
4265	1	280
2077	4	5524
3995	1	1873
3974	1	267
3908	1	5020
1870	1	4503
3788	1	1873
4178	1	1873
3467	1	1870
4547	4	1024
2057	4	3659
4103	1	1873
3338	1	1863
3821	1	1870
3686	1	267
4259	1	5020
3101	1	1873
3908	1	1870
687	4	3521
687	4	3893
4256	1	1870
2491	10	6154
3548	1	1863
1336	1	4687
5705	1	685
687	4	3791
2057	4	3800
1013	4	3953
4680	1	719
687	4	3422
363	4	5471
1240	1	4687
687	4	3548
3257	1	5020
269	10	6151
4010	1	1863
4157	1	1863
3365	1	1863
687	4	3611
687	4	3710
833	4	3302
2057	4	3242
3959	1	5014
5011	1	1981
3209	1	1873
3671	1	267
715	4	5468
687	10	723
3434	1	5017
3797	1	1863
5007	1	4618
6167	4	6160
3554	1	1873
263	4	3851
3425	1	1863
3149	1	1870
263	4	3242
3551	1	5014
2057	4	3464
5653	1	2352
5803	4	6160
3455	1	1873
2057	4	3602
2057	4	3572
6038	4	3470
3824	1	1863
4046	1	267
4124	1	1873
4414	1	267
3842	1	1863
263	4	3962
4271	1	1870
3401	1	1863
3263	1	1863
3821	1	1873
687	4	3209
853	10	6154
1770	4	6150
4205	1	5020
5655	1	2237
3581	1	267
2695	4	5524
4103	1	1870
3218	1	1863
1002	4	5352
143	10	6151
3149	1	1873
263	4	3707
2057	4	3929
